time,price,number
Sep 28 2014 01 0,156.668,14
Sep 29 2014 01 0,162.607,11
Sep 30 2014 01 0,157.057,11
Oct 01 2014 01 0,135.92,11
Oct 02 2014 01 0,150.031,13
Oct 03 2014 01 0,160.065,14
Oct 04 2014 01 0,147.923,14
Oct 05 2014 01 0,161.981,10
Oct 06 2014 01 0,157.921,10
Oct 07 2014 01 0,154.331,12
Oct 08 2014 01 0,156.111,16
Oct 09 2014 01 0,161.627,7
Oct 10 2014 01 0,155.424,7
Oct 11 2014 01 0,159.467,11
Oct 12 2014 01 0,165.933,11
Oct 13 2014 01 0,154.676,10
Oct 14 2014 01 0,158.428,8
Oct 15 2014 01 0,159.798,10
Oct 16 2014 01 0,151.595,9
Oct 17 2014 01 0,153.736,13
Oct 18 2014 01 0,147.512,16
Oct 19 2014 01 0,150.813,12
Oct 20 2014 01 0,140.901,8
Oct 21 2014 01 0,147.085,11
Oct 22 2014 01 0,149.457,11
Oct 23 2014 01 0,149.468,14
Oct 24 2014 01 0,146.84,13
Oct 25 2014 01 0,153.291,14
Oct 26 2014 01 0,157.342,13
Oct 27 2014 01 0,149.129,13
Oct 28 2014 01 0,150.331,9
Oct 29 2014 01 0,153.68,14
Oct 30 2014 01 0,151.558,8
Oct 31 2014 01 0,151.321,16
Nov 01 2014 01 0,151.765,15
Nov 02 2014 01 0,147.554,16
Nov 03 2014 01 0,147.14,4
Nov 04 2014 01 0,142.253,15
Nov 05 2014 01 0,145.29,7
Nov 06 2014 01 0,139.615,9
Nov 07 2014 01 0,136.143,15
Nov 08 2014 01 0,138.053,24
Nov 09 2014 01 0,135.473,18
Nov 10 2014 01 0,143.439,14
Nov 11 2014 01 0,141.204,14
Nov 12 2014 01 0,130.424,14
Nov 13 2014 01 0,127.226,12
Nov 14 2014 01 0,130.635,20
Nov 15 2014 01 0,128.425,16
Nov 16 2014 01 0,127.814,15
Nov 17 2014 01 0,125.135,19
Nov 18 2014 01 0,123.466,12
Nov 19 2014 01 0,121.676,16
Nov 20 2014 01 0,129.289,12
Nov 21 2014 01 0,126.918,11
Nov 22 2014 01 0,121.213,13
Nov 23 2014 01 0,118.137,16
Nov 24 2014 01 0,120.821,9
Nov 25 2014 01 0,119.154,14
Nov 26 2014 01 0,117.122,26
Nov 27 2014 01 0,116.286,31
Nov 28 2014 01 0,123.207,23
Nov 29 2014 01 0,130.764,8
Nov 30 2014 01 0,120.392,27
Dec 01 2014 01 0,124.198,20
Dec 02 2014 01 0,127.532,22
Dec 03 2014 01 0,136.689,11
Dec 04 2014 01 0,136.185,18
Dec 05 2014 01 0,134.412,17
Dec 06 2014 01 0,132.369,17
Dec 07 2014 01 0,134.807,24
Dec 08 2014 01 0,135.184,19
Dec 09 2014 01 0,133.414,13
Dec 10 2014 01 0,137.979,13
Dec 11 2014 01 0,139.254,13
Dec 12 2014 01 0,136.201,16
Dec 13 2014 01 0,140.24,19
Dec 14 2014 01 0,139.924,16
Dec 15 2014 01 0,141.292,17
Dec 16 2014 01 0,141.468,16
Dec 17 2014 01 0,133.541,18
Dec 18 2014 01 0,136.65,23
Dec 19 2014 01 0,140.917,21
Dec 20 2014 01 0,142.448,20
Dec 21 2014 01 0,144.63,24
Dec 22 2014 01 0,148.44,22
Dec 23 2014 01 0,149.287,13
Dec 24 2014 01 0,150.035,25
Dec 25 2014 01 0,158.893,35
Dec 26 2014 01 0,166.683,28
Dec 27 2014 01 0,162.193,23
Dec 28 2014 01 0,161.115,15
Dec 29 2014 01 0,164.756,24
Dec 30 2014 01 0,162.858,28
Dec 31 2014 01 0,168.038,16
Jan 01 2015 01 0,169.229,18
Jan 02 2015 01 0,166.479,18
Jan 03 2015 01 0,169.618,21
Jan 04 2015 01 0,150.23,19
Jan 05 2015 01 0,168.729,21
Jan 06 2015 01 0,167.685,16
Jan 07 2015 01 0,168.026,13
Jan 08 2015 01 0,162.428,18
Jan 09 2015 01 0,153.145,27
Jan 10 2015 01 0,151.572,29
Jan 11 2015 01 0,152.375,15
Jan 12 2015 01 0,153.836,25
Jan 13 2015 01 0,151.941,20
Jan 14 2015 01 0,151.629,16
Jan 15 2015 01 0,152.577,18
Jan 16 2015 01 0,148.262,22
Jan 17 2015 01 0,151.127,25
Jan 18 2015 01 0,146.638,17
Jan 19 2015 01 0,147.297,21
Jan 20 2015 01 0,151.775,17
Jan 21 2015 01 0,153.237,21
Jan 22 2015 01 0,148.49,20
Jan 23 2015 01 0,148.246,21
Jan 24 2015 01 0,153.003,18
Jan 25 2015 01 0,146.604,23
Jan 26 2015 01 0,149.01,17
Jan 27 2015 01 0,141.126,19
Jan 28 2015 01 0,142.548,18
Jan 29 2015 01 0,146.332,21
Jan 30 2015 01 0,144.952,25
Jan 31 2015 01 0,154.155,13
Feb 01 2015 01 0,145.821,21
Feb 02 2015 01 0,146.98,15
Feb 03 2015 01 0,145.787,17
Feb 04 2015 01 0,146.297,23
Feb 05 2015 01 0,149.81,17
Feb 06 2015 01 0,150.156,31
Feb 07 2015 01 0,147.356,15
Feb 08 2015 01 0,153.71,25
Feb 09 2015 01 0,148.235,12
Feb 10 2015 01 0,149.411,11
Feb 11 2015 01 0,142.47,18
Feb 12 2015 01 0,151.616,18
Feb 13 2015 01 0,153.231,25
Feb 14 2015 01 0,147.97,24
Feb 15 2015 01 0,145.359,15
Feb 16 2015 01 0,145.77,27
Feb 17 2015 01 0,145.359,16
Feb 18 2015 01 0,149.938,18
Feb 19 2015 01 0,147.193,20
Feb 20 2015 01 0,146.546,24
Feb 21 2015 01 0,145.137,17
Feb 22 2015 01 0,150.823,22
Feb 23 2015 01 0,132.506,21
Feb 24 2015 01 0,146.235,17
Feb 25 2015 01 0,153.862,26
Feb 26 2015 01 0,147.198,17
Feb 27 2015 01 0,155.065,28
Feb 28 2015 01 0,152.62,22
Mar 01 2015 01 0,148.529,17
Mar 02 2015 01 0,144.073,19
Mar 03 2015 01 0,153.249,18
Mar 04 2015 01 0,144.506,12
Mar 05 2015 01 0,146.401,22
Mar 06 2015 01 0,149.802,14
Mar 07 2015 01 0,148.719,25
Mar 08 2015 01 0,143.571,22
Mar 09 2015 01 0,136.096,18
Mar 10 2015 01 0,138.308,17
Mar 11 2015 01 0,138.999,14
Mar 12 2015 01 0,131.292,17
Mar 13 2015 01 0,136.433,29
Mar 14 2015 01 0,137.307,29
Mar 15 2015 01 0,140.361,25
Mar 16 2015 01 0,140.354,18
Mar 17 2015 01 0,143.278,21
Mar 18 2015 01 0,146.412,25
Mar 19 2015 01 0,148.025,11
Mar 20 2015 01 0,147.904,23
Mar 21 2015 01 0,146.008,20
Mar 22 2015 01 0,142.08,18
Mar 23 2015 01 0,142.833,21
Mar 24 2015 01 0,142.037,17
Mar 25 2015 01 0,148.196,28
Mar 26 2015 01 0,151.444,16
Mar 27 2015 01 0,144.832,23
Mar 28 2015 01 0,138.023,23
Mar 29 2015 01 0,131.722,27
Mar 30 2015 01 0,142.431,20
Mar 31 2015 01 0,146.109,25
Apr 01 2015 01 0,148.349,27
Apr 02 2015 01 0,152.113,19
Apr 03 2015 01 0,152.865,19
Apr 04 2015 01 0,144.861,26
Apr 05 2015 01 0,149.409,28
Apr 06 2015 01 0,149.273,23
Apr 07 2015 01 0,143.993,31
Apr 08 2015 01 0,147.203,28
Apr 09 2015 01 0,144.274,22
Apr 10 2015 01 0,148.796,26
Apr 11 2015 01 0,142.832,31
Apr 12 2015 01 0,143.159,26
Apr 13 2015 01 0,139.145,31
Apr 14 2015 01 0,125.661,17
Apr 15 2015 01 0,123.255,26
Apr 16 2015 01 0,118.208,37
Apr 17 2015 01 0,125.163,30
Apr 18 2015 01 0,125.896,32
Apr 19 2015 01 0,122.34,32
Apr 20 2015 01 0,124.284,21
Apr 21 2015 01 0,120.348,23
Apr 22 2015 01 0,123.512,26
Apr 23 2015 01 0,124.973,24
Apr 24 2015 01 0,129.01,26
Apr 25 2015 01 0,129.356,31
Apr 26 2015 01 0,128.941,31
Apr 27 2015 01 0,128.339,21
Apr 28 2015 01 0,129.749,33
Apr 29 2015 01 0,134.967,20
Apr 30 2015 01 0,141.217,28
May 01 2015 01 0,120.282,60
May 02 2015 01 0,138.368,34
May 03 2015 01 0,141.408,28
May 04 2015 01 0,134.478,20
May 05 2015 01 0,139.163,26
May 06 2015 01 0,135.261,19
May 07 2015 01 0,132.14,30
May 08 2015 01 0,137.879,28
May 09 2015 01 0,133.826,31
May 10 2015 01 0,131.397,25
May 11 2015 01 0,138.776,25
May 12 2015 01 0,135.811,19
May 13 2015 01 0,140.287,27
May 14 2015 01 0,137.821,23
May 15 2015 01 0,140.01,34
May 16 2015 01 0,135.595,29
May 17 2015 01 0,136.933,23
May 18 2015 01 0,137.317,30
May 19 2015 01 0,136.044,22
May 20 2015 01 0,128.668,21
May 21 2015 01 0,134.003,24
May 22 2015 01 0,131.19,31
May 23 2015 01 0,135.936,31
May 24 2015 01 0,130.172,28
May 25 2015 01 0,136.453,27
May 26 2015 01 0,136.113,26
May 27 2015 01 0,127.716,35
May 28 2015 01 0,130.342,30
May 29 2015 01 0,129.151,38
May 30 2015 01 0,137.672,46
May 31 2015 01 0,136.042,25
Jun 01 2015 01 0,136.422,34
Jun 02 2015 01 0,137.749,24
Jun 03 2015 01 0,133.062,28
Jun 04 2015 01 0,135.169,22
Jun 05 2015 01 0,134.19,39
Jun 06 2015 01 0,137.405,28
Jun 07 2015 01 0,125.346,22
Jun 08 2015 01 0,131.382,25
Jun 09 2015 01 0,133.698,27
Jun 10 2015 01 0,128.197,36
Jun 11 2015 01 0,127.643,41
Jun 12 2015 01 0,127.06,40
Jun 13 2015 01 0,130.699,45
Jun 14 2015 01 0,130.495,26
Jun 15 2015 01 0,130.039,32
Jun 16 2015 01 0,129.816,27
Jun 17 2015 01 0,128.513,24
Jun 18 2015 01 0,126.809,34
Jun 19 2015 01 0,128.544,31
Jun 20 2015 01 0,128.761,22
Jun 21 2015 01 0,128.702,37
Jun 22 2015 01 0,130.322,23
Jun 23 2015 01 0,134.362,36
Jun 24 2015 01 0,137.214,14
Jun 25 2015 01 0,135.575,31
Jun 26 2015 01 0,141.237,31
Jun 27 2015 01 0,141.354,28
Jun 28 2015 01 0,136.087,27
Jun 29 2015 01 0,141.016,22
Jun 30 2015 01 0,142.282,29
Jul 01 2015 01 0,144.753,28
Jul 02 2015 01 0,144.437,27
Jul 03 2015 01 0,145.998,23
Jul 04 2015 01 0,146.663,22
Jul 05 2015 01 0,145.922,29
Jul 06 2015 01 0,149.071,18
Jul 07 2015 01 0,141.309,24
Jul 08 2015 01 0,141.332,26
Jul 09 2015 01 0,147.327,26
Jul 10 2015 01 0,144.262,29
Jul 11 2015 01 0,144.437,27
Jul 12 2015 01 0,137.455,25
Jul 13 2015 01 0,141.733,31
Jul 14 2015 01 0,142.19,27
Jul 15 2015 01 0,142.578,24
Jul 16 2015 01 0,142.85,31
Jul 17 2015 01 0,150.812,28
Jul 18 2015 01 0,148.556,28
Jul 19 2015 01 0,142.389,27
Jul 20 2015 01 0,149.058,24
Jul 21 2015 01 0,148.942,23
Jul 22 2015 01 0,139.013,27
Jul 23 2015 01 0,142.987,24
Jul 24 2015 01 0,148.367,18
Jul 25 2015 01 0,144.381,28
Jul 26 2015 01 0,145.192,23
Jul 27 2015 01 0,149.432,22
Jul 28 2015 01 0,146.781,25
Jul 29 2015 01 0,145.673,19
Jul 30 2015 01 0,150.339,24
Jul 31 2015 01 0,147.611,26
Aug 01 2015 01 0,153.495,26
Aug 02 2015 01 0,147.489,25
Aug 03 2015 01 0,151.609,16
Aug 04 2015 01 0,149.171,16
Aug 05 2015 01 0,150.638,25
Aug 06 2015 01 0,152.263,19
Aug 07 2015 01 0,150.185,28
Aug 08 2015 01 0,139.005,29
Aug 09 2015 01 0,144.726,25
Aug 10 2015 01 0,148.969,28
Aug 11 2015 01 0,150.915,20
Aug 12 2015 01 0,147.361,20
Aug 13 2015 01 0,139.681,18
Aug 14 2015 01 0,147.024,26
Aug 15 2015 01 0,140.308,25
Aug 16 2015 01 0,140.539,23
Aug 17 2015 01 0,141.357,24
Aug 18 2015 01 0,144.562,18
Aug 19 2015 01 0,146.055,14
Aug 20 2015 01 0,125.697,18
Aug 21 2015 01 0,139.77,20
Aug 22 2015 01 0,134.745,32
Aug 23 2015 01 0,133.911,26
Aug 24 2015 01 0,140.017,28
Aug 25 2015 01 0,143.914,29
Aug 26 2015 01 0,147.335,29
Aug 27 2015 01 0,147.008,24
Aug 28 2015 01 0,150.064,20
Aug 29 2015 01 0,151.94,21
Aug 30 2015 01 0,154.256,29
Aug 31 2015 01 0,153.668,27
Sep 01 2015 01 0,161.873,22
Sep 02 2015 01 0,154.7,18
Sep 03 2015 01 0,153.34,18
Sep 04 2015 01 0,153.866,26
Sep 05 2015 01 0,148.278,28
Sep 06 2015 01 0,154.018,18
Sep 07 2015 01 0,152.073,16
Sep 08 2015 01 0,152.654,22
Sep 09 2015 01 0,152.268,21
Sep 10 2015 01 0,148.605,18
Sep 11 2015 01 0,153.725,20
Sep 12 2015 01 0,154.866,19
Sep 13 2015 01 0,151.822,29
Sep 14 2015 01 0,154.289,19
Sep 15 2015 01 0,157.098,14
Sep 16 2015 01 0,157.047,23
